AppID,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (counting commission and value of the game) (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link,SI
269690,RymdResa,37.49,-75%,0.04,2.2,12,6,1.98,13.2,-26.27,-288.96,,Weeklong Deals,Product is priced on par with lowest recorded price,4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-269690,https://store.steampowered.com/app/269690/RymdResa/,]
306480,Wildlife Park 2 - Crazy Zoo,37.79,-30%,0.06,3.3,7,4,1.98,13.2,-26.57,-292.27,,Midweek Madness,"lowest price is ARS$ 36,17 at -33%",6 days ago,in 20 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-306480,https://store.steampowered.com/app/306480/Wildlife_Park_2__Crazy_Zoo/,]
593740,Dragon Climax,37.79,-30%,0.1,5.5,5,3,2.47,16.5,-23.76,-261.36,,Weeklong Deals,"lowest price is ARS$ 35,09 at -35%",4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-593740,https://store.steampowered.com/app/593740/Dragon_Climax/,]
253900,Knights and Merchants,37.99,-60%,0.05,2.75,6,3,1.23,8.25,-30.97,-340.66,,City Builder Sale,"lowest price is ARS$ 14,24 at -85%",6 days ago,in 20 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-253900,https://store.steampowered.com/app/253900/Knights_and_Merchants/,]
615350,Scarlett Mysteries: Cursed Child,38.99,-70%,0.05,2.75,5,3,1.23,8.25,-31.97,-351.66,,Weeklong Deals,Product is priced on par with lowest recorded price,4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-615350,https://store.steampowered.com/app/615350/Scarlett_Mysteries_Cursed_Child/,]
657040,The Myth Seekers: The Legacy of Vulcan,38.99,-70%,0.07,3.85,5,3,1.73,11.55,-29.17,-320.87,,Weeklong Deals,Product is priced on par with lowest recorded price,4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-657040,https://store.steampowered.com/app/657040/The_Myth_Seekers_The_Legacy_of_Vulcan/,]
49600,Beat Hazard,38.99,-70%,0.05,2.75,7,4,1.65,11.0,-29.64,-326.04,,X,"lowest price is ARS$ 19,49 at -85%",5 days ago,in 2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-49600,https://store.steampowered.com/app/49600/Beat_Hazard/,]
517360,The Secret Order 4: Beyond Time,38.99,-70%,0.07,3.85,5,3,1.73,11.55,-29.17,-320.87,,Weeklong Deals,Product is priced on par with lowest recorded price,4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-517360,https://store.steampowered.com/app/517360/The_Secret_Order_4_Beyond_Time/,]
431450,Alchemist's Awakening,38.99,-70%,0.07,3.85,9,5,2.88,19.25,-22.62,-248.82,,Weeklong Deals,Product is priced on par with lowest recorded price,4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-431450,https://store.steampowered.com/app/431450/Alchemists_Awakening/,]
536780,Lost Grimoires: Stolen Kingdom,38.99,-70%,0.06,3.3,5,3,1.48,9.89,-30.58,-336.38,,Weeklong Deals,"lowest price is ARS$ 32,49 at -75%",4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-536780,https://store.steampowered.com/app/536780/Lost_Grimoires_Stolen_Kingdom/,]
844920,Fortissimo FA,38.99,-70%,0.05,2.75,8,4,1.65,11.0,-29.64,-326.04,,X,Product is priced on par with lowest recorded price,2 days ago,in 12 days,https://www.steamcardexchange.net/index.php?gamepage-appid-844920,https://store.steampowered.com/app/844920/Fortissimo_FA/,]
727090,Village of Adventurers 2,38.99,-70%,0.11,6.05,5,3,2.72,18.14,-23.57,-259.27,,X,Product is priced on par with lowest recorded price,2 days ago,in 12 days,https://www.steamcardexchange.net/index.php?gamepage-appid-727090,https://store.steampowered.com/app/727090/Village_of_Adventurers_2/,]
317440,Quantum Rush Champions,38.99,-70%,0.04,2.2,10,5,1.65,11.0,-29.64,-326.04,,Weeklong Deals,Product is priced on par with lowest recorded price,4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-317440,https://store.steampowered.com/app/317440/Quantum_Rush_Champions/,]
427550,Tibetan Quest: Beyond the World's End,38.99,-70%,0.07,3.85,5,3,1.73,11.55,-29.17,-320.87,,Weeklong Deals,"lowest price is ARS$ 25,99 at -80%",4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-427550,https://store.steampowered.com/app/427550/Tibetan_Quest_Beyond_the_Worlds_End/,]
637060,Tiny Tales: Heart of the Forest,38.99,-70%,0.05,2.75,5,3,1.23,8.25,-31.97,-351.66,,Weeklong Deals,"lowest price is ARS$ 32,49 at -75%",4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-637060,https://store.steampowered.com/app/637060/Tiny_Tales_Heart_of_the_Forest/,]
465720,Demon Hunter 2: New Chapter,38.99,-70%,0.06,3.3,5,3,1.48,9.89,-30.58,-336.38,,Weeklong Deals,"lowest price is ARS$ 25,99 at -80%",4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-465720,https://store.steampowered.com/app/465720/Demon_Hunter_2_New_Chapter/,]
422650,Megamagic: Wizards of the Neon Age,38.99,-70%,0.05,2.75,8,4,1.65,11.0,-29.64,-326.04,,Weeklong Deals,Product is priced on par with lowest recorded price,4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-422650,https://store.steampowered.com/app/422650/Megamagic_Wizards_of_the_Neon_Age/,]
589730,Tyd wag vir Niemand (Time waits for Nobody),38.99,-70%,0.05,2.75,5,3,1.23,8.25,-31.97,-351.66,,Weeklong Deals,Product is priced on par with lowest recorded price,4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-589730,https://store.steampowered.com/app/589730/Tyd_wag_vir_Niemand_Time_waits_for_Nobody/,]
386540,A.I. Invasion,38.99,-70%,0.05,2.75,8,4,1.65,11.0,-29.64,-326.04,,Weeklong Deals,"lowest price is ARS$ 12,99 at -90%",4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-386540,https://store.steampowered.com/app/386540/AI_Invasion/,]
278930,GIGANTIC ARMY,39.49,-50%,0.05,2.75,7,4,1.65,11.0,-30.14,-331.54,,X,Product is priced on par with lowest recorded price,3 days ago,in 8 days,https://www.steamcardexchange.net/index.php?gamepage-appid-278930,https://store.steampowered.com/app/278930/GIGANTIC_ARMY/,]
448160,WOLFLAME,39.49,-50%,0.05,2.75,7,4,1.65,11.0,-30.14,-331.54,,X,Product is priced on par with lowest recorded price,3 days ago,in 8 days,https://www.steamcardexchange.net/index.php?gamepage-appid-448160,https://store.steampowered.com/app/448160/WOLFLAME/,]
203990,SATAZIUS,39.49,-50%,0.06,3.3,7,4,1.98,13.2,-28.27,-310.96,,X,Product is priced on par with lowest recorded price,3 days ago,in 8 days,https://www.steamcardexchange.net/index.php?gamepage-appid-203990,https://store.steampowered.com/app/203990/SATAZIUS/,]
404100,STEEL STRIDER,39.49,-50%,0.04,2.2,7,4,1.32,8.8,-32.01,-352.1,,X,Product is priced on par with lowest recorded price,3 days ago,in 8 days,https://www.steamcardexchange.net/index.php?gamepage-appid-404100,https://store.steampowered.com/app/404100/STEEL_STRIDER/,]
564040,ZANGEKI WARP,39.49,-50%,0.04,2.2,7,4,1.32,8.8,-32.01,-352.1,,X,Product is priced on par with lowest recorded price,3 days ago,in 8 days,https://www.steamcardexchange.net/index.php?gamepage-appid-564040,https://store.steampowered.com/app/564040/ZANGEKI_WARP/,]
438340,Drizzlepath: Genie,39.49,-50%,0.12,6.6,5,3,2.96,19.79,-22.66,-249.26,,X,"lowest price is ARS$ 32,99 at -67%",11 days ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-438340,https://store.steampowered.com/app/438340/Drizzlepath_Genie/,]
444170,Unhack 2,39.49,-50%,0.07,3.85,6,3,1.73,11.55,-29.67,-326.37,,Weeklong Deals,Product is priced on par with lowest recorded price,4 hours ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-444170,https://store.steampowered.com/app/444170/Unhack_2/,]
644480,Outbreak: The New Nightmare,39.99,-75%,0.04,2.2,7,4,1.32,8.8,-32.51,-357.6,,X,"lowest price is ARS$ 23,99 at -85%",11 days ago,in 7 days,https://www.steamcardexchange.net/index.php?gamepage-appid-644480,https://store.steampowered.com/app/644480/Outbreak_The_New_Nightmare/,]
743390,DISTRAINT 2,40.24,-65%,0.04,2.2,12,6,1.98,13.2,-29.02,-319.21,,X,Product is priced on par with lowest recorded price,6 days ago,in 8 days,https://www.steamcardexchange.net/index.php?gamepage-appid-743390,https://store.steampowered.com/app/743390/DISTRAINT_2/,]
