Appid,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Sales x 24 hours for the cheapest item,Approximate minimum profit (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Market direct link,Steamcardexchange link,Steam store link,SI
603130,Masked Shooters,6.99,-50%,0.05,2.75,6,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_603130#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-603130,https://store.steampowered.com/app/603130/Masked_Shooters/,]
368710,Power of Love,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_368710#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-368710,https://store.steampowered.com/app/368710/Power_of_Love/,]
449200,Calcu-Late,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_449200#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-449200,https://store.steampowered.com/app/449200/CalcuLate/,]
513620,SkyTime,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_513620#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-513620,https://store.steampowered.com/app/513620/SkyTime/,]
473470,Purgatory,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_473470#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-473470,https://store.steampowered.com/app/473470/Purgatory/,]
444410,Find Out,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_444410#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-444410,https://store.steampowered.com/app/444410/Find_Out/,]
489220,Unforgiving Trials: The Darkest Crusade,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_489220#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-489220,https://store.steampowered.com/app/489220/Unforgiving_Trials_The_Darkest_Crusade/,]
502140,Drayt Empire,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_502140#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-502140,https://store.steampowered.com/app/502140/Drayt_Empire/,]
567680,The Pasture,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_567680#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-567680,https://store.steampowered.com/app/567680/The_Pasture/,]
473560,Cosmic Dust & Rust,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_473560#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-473560,https://store.steampowered.com/app/473560/Cosmic_Dust__Rust/,]
432170,Silver Knight,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_432170#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-432170,https://store.steampowered.com/app/432170/Silver_Knight/,]
555760,Adrenaline Adventure,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_555760#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-555760,https://store.steampowered.com/app/555760/Adrenaline_Adventure/,]
375760,Volstead,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_375760#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-375760,https://store.steampowered.com/app/375760/Volstead/,]
541380,PhysDrive,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_541380#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-541380,https://store.steampowered.com/app/541380/PhysDrive/,]
503430,N0-EXIT,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_503430#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-503430,https://store.steampowered.com/app/503430/N0EXIT/,]
551670,TWIN BROS,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_551670#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-551670,https://store.steampowered.com/app/551670/TWIN_BROS/,]
409340,Perraw - FPS Clone War Alpha,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_409340#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-409340,https://store.steampowered.com/app/409340/Perraw__FPS_Clone_War_Alpha/,]
568720,The Agony,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_568720#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-568720,https://store.steampowered.com/app/568720/The_Agony/,]
527760,Just Hero,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_527760#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-527760,https://store.steampowered.com/app/527760/Just_Hero/,]
344260,Agapan,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_344260#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-344260,https://store.steampowered.com/app/344260/Agapan/,]
396360,LocoSoccer,6.99,-50%,0.05,2.75,5,3,1.23,8.25,,0.02,0.22,,-,-,-,-,https://steamcommunity.com/market/search?appid=753&category_753_Game%5B%5D=tag_app_396360#p1_price_asc,https://www.steamcardexchange.net/index.php?gamepage-appid-396360,https://store.steampowered.com/app/396360/LocoSoccer/,]
