Appid,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link,SI
1091980,The Bard's Tale IV: Director's Cut,337.5,-50%,0.05,2.75,6,3,1.23,8.25,-330.48,-3635.28,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1091980,https://store.steampowered.com/app/1091980/The_Bards_Tale_IV_Directors_Cut/,]
631510,Devil May Cry HD Collection,347.49,-34%,0.1,5.5,8,4,3.3,22.0,-328.79,-3616.69,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-631510,https://store.steampowered.com/app/631510/Devil_May_Cry_HD_Collection/,]
995240,RemiLore: Lost Girl in the Lands of Lore,329.99,-25%,0.05,2.75,6,3,1.23,8.25,-322.97,-3552.67,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-995240,https://store.steampowered.com/app/995240/RemiLore_Lost_Girl_in_the_Lands_of_Lore/,]
788100,Neon Abyss,337.49,-25%,0.12,6.6,6,3,2.96,19.79,-320.66,-3527.26,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-788100,https://store.steampowered.com/app/788100/Neon_Abyss/,]
397060,Faeria,324.99,-50%,0.06,3.3,8,4,1.98,13.2,-313.77,-3451.47,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-397060,https://store.steampowered.com/app/397060/Faeria/,]
427970,Heathen Engineering's Terran,329.99,-25%,0.07,3.85,9,5,2.88,19.25,-313.62,-3449.82,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-427970,https://store.steampowered.com/app/427970/Heathen_Engineerings_Terran/,]
883710,Resident Evil 2,327.99,-60%,0.08,4.4,8,4,2.64,17.6,-313.03,-3443.33,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-883710,https://store.steampowered.com/app/883710/Resident_Evil_2/,]
1007040,EARTH DEFENSE FORCE 5,324.99,-50%,0.04,2.2,14,7,2.31,15.4,-311.9,-3430.89,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1007040,https://store.steampowered.com/app/1007040/EARTH_DEFENSE_FORCE_5/,]
922500,KILL la KILL -IF,324.99,-50%,0.08,4.4,8,4,2.64,17.6,-310.03,-3410.33,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-922500,https://store.steampowered.com/app/922500/KILL_la_KILL_IF/,]
1163600,Omega Labyrinth Life,324.99,-50%,0.08,4.4,7,4,2.64,17.6,-310.03,-3410.33,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1163600,https://store.steampowered.com/app/1163600/Omega_Labyrinth_Life/,]
571260,THE KING OF FIGHTERS XIV STEAM EDITION,324.99,-50%,0.04,2.2,15,8,2.64,17.6,-310.03,-3410.33,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-571260,https://store.steampowered.com/app/571260/THE_KING_OF_FIGHTERS_XIV_STEAM_EDITION/,]
605800,Skelattack,322.5,-75%,0.1,5.5,6,3,2.47,16.5,-308.47,-3393.17,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-605800,https://store.steampowered.com/app/605800/Skelattack/,]
622220,Fate/EXTELLA LINK,323.99,-40%,0.06,3.3,11,6,2.96,19.79,-307.16,-3378.76,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-622220,https://store.steampowered.com/app/622220/FateEXTELLA_LINK/,]
748480,Wild Romance: Mofu Mofu Edition,324.99,-50%,0.13,7.15,6,3,3.21,21.45,-306.75,-3374.25,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-748480,https://store.steampowered.com/app/748480/Wild_Romance_Mofu_Mofu_Edition/,]
955560,Evenicle,318.49,-35%,0.06,3.3,10,5,2.47,16.5,-304.46,-3349.06,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-955560,https://store.steampowered.com/app/955560/Evenicle/,]
738530,New Gundam Breaker,319.84,-84%,0.09,4.95,7,4,2.97,19.8,-303.01,-3333.1,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-738530,https://store.steampowered.com/app/738530/New_Gundam_Breaker/,]
493520,GTFO,311.99,-20%,0.09,4.95,5,3,2.22,14.85,-299.36,-3292.96,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-493520,https://store.steampowered.com/app/493520/GTFO/,]
1031440,TOKYO CHRONOS,307.99,-30%,0.05,2.75,9,5,2.06,13.75,-296.3,-3259.3,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1031440,https://store.steampowered.com/app/1031440/TOKYO_CHRONOS/,]
978780,STORY OF SEASONS: Friends of Mineral Town,323.99,-40%,0.12,6.6,9,5,4.95,33.0,-295.94,-3255.34,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-978780,https://store.steampowered.com/app/978780/STORY_OF_SEASONS_Friends_of_Mineral_Town/,]
492230,Space Hulk: Tactics,299.99,-75%,0.06,3.3,5,3,1.48,9.89,-291.58,-3207.37,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-492230,https://store.steampowered.com/app/492230/Space_Hulk_Tactics/,]
399810,Call of Cthulhu®,299.99,-75%,0.06,3.3,5,3,1.48,9.89,-291.58,-3207.37,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-399810,https://store.steampowered.com/app/399810/Call_of_Cthulhu/,]
562810,MONOPOLY® PLUS,299.6,-60%,0.06,3.3,6,3,1.48,9.89,-291.19,-3203.09,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-562810,https://store.steampowered.com/app/562810/MONOPOLY_PLUS/,]
1024480,Immortal Realms: Vampire Wars,307.99,-30%,0.12,6.6,5,3,2.96,19.79,-291.16,-3202.76,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1024480,https://store.steampowered.com/app/1024480/Immortal_Realms_Vampire_Wars/,]
1016920,Unrailed!,299.25,-25%,0.06,3.3,5,3,1.48,9.89,-290.83,-3199.12,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1016920,https://store.steampowered.com/app/1016920/Unrailed/,]
327070,Gloria Victis,299.99,-50%,0.04,2.2,9,5,1.65,11.0,-290.64,-3197.04,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-327070,https://store.steampowered.com/app/327070/Gloria_Victis/,]
742300,Mega Man 11,302.0,-50%,0.05,2.75,10,5,2.06,13.75,-290.31,-3193.41,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-742300,https://store.steampowered.com/app/742300/Mega_Man_11/,]
1144400,Senren＊Banka,311.99,-20%,0.1,5.5,9,5,4.12,27.5,-288.61,-3174.71,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1144400,https://store.steampowered.com/app/1144400/SenrenBanka/,]
304390,FOR HONOR™,299.6,-60%,0.04,2.2,12,6,1.98,13.2,-288.38,-3172.18,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-304390,https://store.steampowered.com/app/304390/FOR_HONOR/,]
748490,The Legend of Heroes: Trails of Cold Steel II,307.99,-30%,0.07,3.85,12,6,3.46,23.1,-288.35,-3171.85,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-748490,https://store.steampowered.com/app/748490/The_Legend_of_Heroes_Trails_of_Cold_Steel_II/,]
632470,Disco Elysium,307.99,-30%,0.06,3.3,14,7,3.46,23.1,-288.35,-3171.85,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-632470,https://store.steampowered.com/app/632470/Disco_Elysium/,]
970830,The Dungeon Of Naheulbeuk: The Amulet Of Chaos,311.99,-20%,0.11,6.05,10,5,4.53,30.25,-286.27,-3148.97,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-970830,https://store.steampowered.com/app/970830/The_Dungeon_Of_Naheulbeuk_The_Amulet_Of_Chaos/,]
460920,Steep™,299.8,-80%,0.05,2.75,11,6,2.47,16.5,-285.77,-3143.47,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-460920,https://store.steampowered.com/app/460920/Steep/,]
1222670,The Sims™ 4,299.88,-88%,0.11,6.05,6,3,2.72,18.14,-284.45,-3128.95,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1222670,https://store.steampowered.com/app/1222670/The_Sims_4/,]
714080,BLACK CLOVER: QUARTET KNIGHTS,303.84,-84%,0.14,7.7,6,3,3.46,23.1,-284.2,-3126.2,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-714080,https://store.steampowered.com/app/714080/BLACK_CLOVER_QUARTET_KNIGHTS/,]
710920,Darksiders Genesis,294.99,-50%,0.06,3.3,7,4,1.98,13.2,-283.77,-3121.47,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-710920,https://store.steampowered.com/app/710920/Darksiders_Genesis/,]
252490,Rust,294.79,-33%,0.08,4.4,5,3,1.98,13.2,-283.57,-3119.27,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-252490,https://store.steampowered.com/app/252490/Rust/,]
787480,Phoenix Wright: Ace Attorney Trilogy,302.0,-50%,0.1,5.5,8,4,3.3,22.0,-283.3,-3116.3,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-787480,https://store.steampowered.com/app/787480/Phoenix_Wright_Ace_Attorney_Trilogy/,]
337930,Nameless ~The one thing you must recall~,296.99,-10%,0.06,3.3,9,5,2.47,16.5,-282.96,-3112.56,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-337930,https://store.steampowered.com/app/337930/Nameless_The_one_thing_you_must_recall/,]
748360,MY HERO ONE'S JUSTICE,303.84,-84%,0.06,3.3,15,8,3.96,26.4,-281.39,-3095.29,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-748360,https://store.steampowered.com/app/748360/MY_HERO_ONES_JUSTICE/,]
374520,Champions of Anteria™,299.8,-80%,0.08,4.4,9,5,3.3,22.0,-281.1,-3092.1,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-374520,https://store.steampowered.com/app/374520/Champions_of_Anteria/,]
761600,Onimusha: Warlords,294.0,-60%,0.07,3.85,7,4,2.31,15.4,-280.91,-3090.01,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-761600,https://store.steampowered.com/app/761600/Onimusha_Warlords/,]
1044620,Aokana - Four Rhythms Across the Blue,292.49,-25%,0.08,4.4,9,5,3.3,22.0,-273.79,-3011.69,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1044620,https://store.steampowered.com/app/1044620/Aokana__Four_Rhythms_Across_the_Blue/,]
324160,CLANNAD,293.99,-40%,0.11,6.05,7,4,3.63,24.2,-273.42,-3007.62,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-324160,https://store.steampowered.com/app/324160/CLANNAD/,]
597220,West of Loathing,279.99,-30%,0.06,3.3,7,4,1.98,13.2,-268.77,-2956.47,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-597220,https://store.steampowered.com/app/597220/West_of_Loathing/,]
885150,Capcom Beat 'Em Up Bundle,280.0,-50%,0.08,4.4,5,3,1.98,13.2,-268.77,-2956.47,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-885150,https://store.steampowered.com/app/885150/Capcom_Beat_Em_Up_Bundle/,]
359550,Tom Clancy's Rainbow Six® Siege,279.6,-60%,0.06,3.3,10,5,2.47,16.5,-265.57,-2921.27,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-359550,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/,]
774361,Blasphemous,274.99,-50%,0.05,2.75,9,5,2.06,13.75,-263.3,-2896.3,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-774361,https://store.steampowered.com/app/774361/Blasphemous/,]
628670,Hellpoint,272.99,-30%,0.04,2.2,11,6,1.98,13.2,-261.77,-2879.47,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-628670,https://store.steampowered.com/app/628670/Hellpoint/,]
728880,Overcooked! 2,274.99,-50%,0.04,2.2,15,8,2.64,17.6,-260.03,-2860.33,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-728880,https://store.steampowered.com/app/728880/Overcooked_2/,]
512180,Nightshade／百花百狼,272.99,-30%,0.1,5.5,5,3,2.47,16.5,-258.96,-2848.56,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-512180,https://store.steampowered.com/app/512180/Nightshade/,]
415000,Learn Code: GTGD S3 How To Make A Game,269.99,-50%,0.06,3.3,8,4,1.98,13.2,-258.77,-2846.47,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-415000,https://store.steampowered.com/app/415000/Learn_Code_GTGD_S3_How_To_Make_A_Game/,]
1146310,Beyond a Steel Sky,272.99,-30%,0.04,2.2,15,8,2.64,17.6,-258.03,-2838.33,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1146310,https://store.steampowered.com/app/1146310/Beyond_a_Steel_Sky/,]
1238060,Dead Space™ 3,269.7,-70%,0.09,4.95,5,3,2.22,14.85,-257.07,-2827.77,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1238060,https://store.steampowered.com/app/1238060/Dead_Space_3/,]
644930,They Are Billions,263.99,-20%,0.06,3.3,6,3,1.48,9.89,-255.58,-2811.38,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-644930,https://store.steampowered.com/app/644930/They_Are_Billions/,]
433530,Heliborne - Enhanced Edition,263.99,-40%,0.06,3.3,6,3,1.48,9.89,-255.58,-2811.38,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-433530,https://store.steampowered.com/app/433530/Heliborne__Enhanced_Edition/,]
794580,SNK HEROINES Tag Team Frenzy,269.99,-50%,0.04,2.2,15,8,2.64,17.6,-255.03,-2805.33,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-794580,https://store.steampowered.com/app/794580/SNK_HEROINES_Tag_Team_Frenzy/,]
352720,The Universim,263.99,-20%,0.05,2.75,8,4,1.65,11.0,-254.64,-2801.04,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-352720,https://store.steampowered.com/app/352720/The_Universim/,]
848350,Katamari Damacy REROLL,263.67,-67%,0.07,3.85,6,3,1.73,11.55,-253.85,-2792.35,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-848350,https://store.steampowered.com/app/848350/Katamari_Damacy_REROLL/,]
1410710,Democracy 4,263.99,-20%,0.08,4.4,5,3,1.98,13.2,-252.77,-2780.47,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1410710,https://store.steampowered.com/app/1410710/Democracy_4/,]
1149440,Dragon Marked For Death,263.99,-40%,0.06,3.3,7,4,1.98,13.2,-252.77,-2780.47,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1149440,https://store.steampowered.com/app/1149440/Dragon_Marked_For_Death/,]
1200720,Making*Lovers,263.99,-20%,0.05,2.75,10,5,2.06,13.75,-252.3,-2775.3,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1200720,https://store.steampowered.com/app/1200720/MakingLovers/,]
1150080,Azur Lane Crosswave,269.99,-50%,0.1,5.5,8,4,3.3,22.0,-251.29,-2764.19,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1150080,https://store.steampowered.com/app/1150080/Azur_Lane_Crosswave/,]
345610,The Fruit of Grisaia,263.99,-40%,0.1,5.5,6,3,2.47,16.5,-249.96,-2749.56,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-345610,https://store.steampowered.com/app/345610/The_Fruit_of_Grisaia/,]
1025440,Fantasy General II,263.99,-40%,0.06,3.3,11,6,2.96,19.79,-247.16,-2718.76,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1025440,https://store.steampowered.com/app/1025440/Fantasy_General_II/,]
965010,Trinoline All Ages Version,253.49,-35%,0.05,2.75,6,3,1.23,8.25,-246.47,-2711.17,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-965010,https://store.steampowered.com/app/965010/Trinoline_All_Ages_Version/,]
1163590,Bullet Girls Phantasia,263.99,-20%,0.06,3.3,14,7,3.46,23.1,-244.35,-2687.85,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1163590,https://store.steampowered.com/app/1163590/Bullet_Girls_Phantasia/,]
402620,Kindred Spirits on the Roof,253.49,-35%,0.06,3.3,8,4,1.98,13.2,-242.27,-2664.97,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-402620,https://store.steampowered.com/app/402620/Kindred_Spirits_on_the_Roof/,]
1011420,Bus Mechanic Simulator,268.19,-40%,0.14,7.7,7,4,4.62,30.8,-242.01,-2662.1,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1011420,https://store.steampowered.com/app/1011420/Bus_Mechanic_Simulator/,]
538680,The Legend of Heroes: Trails of Cold Steel,263.99,-40%,0.06,3.3,15,8,3.96,26.4,-241.55,-2657.05,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-538680,https://store.steampowered.com/app/538680/The_Legend_of_Heroes_Trails_of_Cold_Steel/,]
339230,ZOMBI,249.75,-75%,0.06,3.3,6,3,1.48,9.89,-241.34,-2654.74,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-339230,https://store.steampowered.com/app/339230/ZOMBI/,]
629760,MORDHAU,247.49,-25%,0.05,2.75,6,3,1.23,8.25,-240.47,-2645.17,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-629760,https://store.steampowered.com/app/629760/MORDHAU/,]
312980,Graviteam Tactics: Mius-Front,253.49,-35%,0.07,3.85,8,4,2.31,15.4,-240.4,-2644.4,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-312980,https://store.steampowered.com/app/312980/Graviteam_Tactics_MiusFront/,]
378800,Police Tactics: Imperio,254.39,-60%,0.1,5.5,5,3,2.47,16.5,-240.36,-2643.96,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-378800,https://store.steampowered.com/app/378800/Police_Tactics_Imperio/,]
647570,Transference™,249.8,-80%,0.07,3.85,5,3,1.73,11.55,-239.98,-2639.78,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-647570,https://store.steampowered.com/app/647570/Transference/,]
453090,Parkitect,247.49,-25%,0.06,3.3,6,3,1.48,9.89,-239.08,-2629.88,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-453090,https://store.steampowered.com/app/453090/Parkitect/,]
48240,Anno 2070™,249.75,-75%,0.05,2.75,9,5,2.06,13.75,-238.06,-2618.66,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-48240,https://store.steampowered.com/app/48240/Anno_2070/,]
408250,Eagle Flight,249.75,-75%,0.05,2.75,10,5,2.06,13.75,-238.06,-2618.66,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-408250,https://store.steampowered.com/app/408250/Eagle_Flight/,]
278550,A-Train 9 V4.0 : Japan Rail Simulator,259.99,-60%,0.08,4.4,12,6,3.96,26.4,-237.55,-2613.05,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-278550,https://store.steampowered.com/app/278550/ATrain_9_V40__Japan_Rail_Simulator/,]
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,249.75,-75%,0.07,3.85,7,4,2.31,15.4,-236.66,-2603.25,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-287700,https://store.steampowered.com/app/287700/METAL_GEAR_SOLID_V_THE_PHANTOM_PAIN/,]
809890,Shining Resonance Refrain,254.99,-66%,0.05,2.75,15,8,3.3,22.0,-236.29,-2599.19,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-809890,https://store.steampowered.com/app/809890/Shining_Resonance_Refrain/,]
233860,Kenshi,247.49,-25%,0.08,4.4,5,3,1.98,13.2,-236.27,-2598.97,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-233860,https://store.steampowered.com/app/233860/Kenshi/,]
632800,Beyond Eden,272.99,-30%,0.27,14.85,5,3,6.68,44.55,-235.12,-2586.32,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-632800,https://store.steampowered.com/app/632800/Beyond_Eden/,]
751450,Nanairo Reincarnation,247.49,-25%,0.07,3.85,8,4,2.31,15.4,-234.4,-2578.4,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-751450,https://store.steampowered.com/app/751450/Nanairo_Reincarnation/,]
639490,Umineko When They Cry - Answer Arcs,247.49,-25%,0.06,3.3,9,5,2.47,16.5,-233.46,-2568.06,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-639490,https://store.steampowered.com/app/639490/Umineko_When_They_Cry__Answer_Arcs/,]
303290,OZMAFIA!!,253.49,-35%,0.08,4.4,11,6,3.96,26.4,-231.05,-2541.55,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-303290,https://store.steampowered.com/app/303290/OZMAFIA/,]
628320,Roah,237.99,-15%,0.05,2.75,5,3,1.23,8.25,-230.97,-2540.67,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-628320,https://store.steampowered.com/app/628320/Roah/,]
542290,Da Capo 3 R,241.99,-45%,0.06,3.3,8,4,1.98,13.2,-230.77,-2538.47,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-542290,https://store.steampowered.com/app/542290/Da_Capo_3_R/,]
809720,Rescue HQ - The Tycoon,239.45,-33%,0.05,2.75,8,4,1.65,11.0,-230.1,-2531.1,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-809720,https://store.steampowered.com/app/809720/Rescue_HQ__The_Tycoon/,]
673210,Frontier Pilot Simulator,236.99,-21%,0.05,2.75,5,3,1.23,8.25,-229.97,-2529.67,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-673210,https://store.steampowered.com/app/673210/Frontier_Pilot_Simulator/,]
436670,The Legend of Heroes: Trails in the Sky the 3rd,247.49,-25%,0.05,2.75,15,8,3.3,22.0,-228.79,-2516.69,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-436670,https://store.steampowered.com/app/436670/The_Legend_of_Heroes_Trails_in_the_Sky_the_3rd/,]
666140,My Time At Portia,237.99,-66%,0.05,2.75,8,4,1.65,11.0,-228.64,-2515.04,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-666140,https://store.steampowered.com/app/666140/My_Time_At_Portia/,]
926340,Roman's Christmas / 罗曼圣诞探案集,254.15,-15%,0.08,4.4,13,7,4.62,30.8,-227.97,-2507.67,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-926340,https://store.steampowered.com/app/926340/Romans_Christmas/,]
1089630,奇迹一刻 Surmount,239.99,-20%,0.07,3.85,8,4,2.31,15.4,-226.9,-2495.9,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1089630,https://store.steampowered.com/app/1089630/_Surmount/,]
1005300,The Jackbox Party Pack 6,230.99,-30%,0.05,2.75,5,3,1.23,8.25,-223.97,-2463.67,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-1005300,https://store.steampowered.com/app/1005300/The_Jackbox_Party_Pack_6/,]
587620,Okami HD,243.5,-50%,0.07,3.85,12,6,3.46,23.1,-223.86,-2462.46,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-587620,https://store.steampowered.com/app/587620/Okami_HD/,]
606280,Darksiders III,234.99,-75%,0.05,2.75,9,5,2.06,13.75,-223.3,-2456.3,,,,,,https://www.steamcardexchange.net/index.php?gamepage-appid-606280,https://store.steampowered.com/app/606280/Darksiders_III/,]
