Appid,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link,SI
464350,Screeps,89.99,-50%,0.07,3.85,8,4,2.31,15.4,-76.89,-845.79,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-464350,https://store.steampowered.com/app/464350/Screeps/,]
286260,fault - milestone one,89.99,-50%,0.07,3.85,7,4,2.31,15.4,-76.89,-845.79,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-286260,https://store.steampowered.com/app/286260/fault__milestone_one/,]
1126890,Urban Cards,89.99,-50%,0.07,3.85,8,4,2.31,15.4,-76.89,-845.79,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-1126890,https://store.steampowered.com/app/1126890/Urban_Cards/,]
366780,Magical Eyes - Red is for Anguish,89.99,-50%,0.07,3.85,8,4,2.31,15.4,-76.89,-845.79,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-366780,https://store.steampowered.com/app/366780/Magical_Eyes__Red_is_for_Anguish/,]
954080,Memorrha,84.99,-75%,0.06,3.3,5,3,1.48,9.89,-76.58,-842.38,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-954080,https://store.steampowered.com/app/954080/Memorrha/,]
251060,Wargame: Red Dragon,84.59,-80%,0.06,3.3,6,3,1.48,9.89,-76.18,-837.98,,X,Product is priced on par with lowest recorded price,18 hours ago,in 5 days,https://www.steamcardexchange.net/index.php?gamepage-appid-251060,https://store.steampowered.com/app/251060/Wargame_Red_Dragon/,]
318020,Act of Aggression - Reboot Edition,84.59,-80%,0.06,3.3,5,3,1.48,9.89,-76.18,-837.98,,X,Product is priced on par with lowest recorded price,18 hours ago,in 5 days,https://www.steamcardexchange.net/index.php?gamepage-appid-318020,https://store.steampowered.com/app/318020/Act_of_Aggression__Reboot_Edition/,]
458710,Kingdom Rush Frontiers - Tower Defense,84.49,-35%,0.06,3.3,6,3,1.48,9.89,-76.08,-836.88,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-458710,https://store.steampowered.com/app/458710/Kingdom_Rush_Frontiers__Tower_Defense/,]
263200,Signs of Life,84.49,-35%,0.06,3.3,5,3,1.48,9.89,-76.08,-836.88,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-263200,https://store.steampowered.com/app/263200/Signs_of_Life/,]
582330,Warriors: Rise to Glory!,90.99,-30%,0.08,4.4,7,4,2.64,17.6,-76.03,-836.33,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-582330,https://store.steampowered.com/app/582330/Warriors_Rise_to_Glory/,]
738020,ELMIA,90.99,-30%,0.04,2.2,15,8,2.64,17.6,-76.03,-836.33,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-738020,https://store.steampowered.com/app/738020/ELMIA/,]
388800,Azure Striker Gunvolt,89.99,-50%,0.06,3.3,10,5,2.47,16.5,-75.95,-835.45,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-388800,https://store.steampowered.com/app/388800/Azure_Striker_Gunvolt/,]
326060,Starlight Drifter,89.99,-60%,0.1,5.5,6,3,2.47,16.5,-75.95,-835.45,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-326060,https://store.steampowered.com/app/326060/Starlight_Drifter/,]
823610,Dungeon Of Dragon Knight,89.99,-40%,0.05,2.75,11,6,2.47,16.5,-75.95,-835.45,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-823610,https://store.steampowered.com/app/823610/Dungeon_Of_Dragon_Knight/,]
