AppID,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (counting commission and value of the game) (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link,SI
542930,Painted Memories,19.99,-50%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-542930,https://store.steampowered.com/app/542930,]
399090,It's time to get out from the solar system,19.99,-50%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-399090,https://store.steampowered.com/app/399090,]
582810,Awesome Metal Detecting,20.0,-60%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-582810,https://store.steampowered.com/app/582810,]
619320,Skatemasta Tcheco,20.24,-25%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-619320,https://store.steampowered.com/app/619320,]
364350,The Apotheosis Project,20.24,-25%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-364350,https://store.steampowered.com/app/364350,]
509920,Doc Apocalypse,20.24,-25%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-509920,https://store.steampowered.com/app/509920,]
528770,Twixel,20.24,-25%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-528770,https://store.steampowered.com/app/528770,]
80330,The Blackwell Legacy,20.39,-70%,,,,,,,,,,X,"lowest price is ARS$ 13,59 at -80%",2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-80330,https://store.steampowered.com/app/80330,]
80340,Blackwell Unbound,20.39,-70%,,,,,,,,,,X,"lowest price is ARS$ 13,59 at -80%",2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-80340,https://store.steampowered.com/app/80340,]
80350,Blackwell Convergence,20.39,-70%,,,,,,,,,,X,"lowest price is ARS$ 13,59 at -80%",2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-80350,https://store.steampowered.com/app/80350,]
252370,The Shivah,20.39,-70%,,,,,,,,,,X,"lowest price is ARS$ 13,59 at -80%",2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-252370,https://store.steampowered.com/app/252370,]
443360,Red Comrades 2: For the Great Justice. Reloaded,20.39,-70%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-443360,https://store.steampowered.com/app/443360,]
597700,OVIVO,20.39,-70%,,,,,,,,,,X,"lowest price is ARS$ 7,47 at -89%",2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-597700,https://store.steampowered.com/app/597700,]
270490,The Forest of Doom (Standalone),20.39,-70%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-270490,https://store.steampowered.com/app/270490,]
239800,Bleed,20.39,-70%,,,,,,,,,,X,"lowest price is ARS$ 13,59 at -80%",2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-239800,https://store.steampowered.com/app/239800,]
371550,A Bastard's Tale,20.39,-70%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-371550,https://store.steampowered.com/app/371550,]
546220,Red Comrades 3: Return of Alaska. Reloaded,20.39,-70%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-546220,https://store.steampowered.com/app/546220,]
419810,House of Hell (Standalone),20.39,-70%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-419810,https://store.steampowered.com/app/419810,]
453300,A Healer Only Lives Twice,20.39,-70%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-453300,https://store.steampowered.com/app/453300,]
415030,One More Dungeon,20.39,-70%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 16,99 at -75%",5 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-415030,https://store.steampowered.com/app/415030,]
235250,Super Sanctum TD,20.39,-70%,,,,,,,,,,X,"lowest price is ARS$ 13,59 at -80%",2 days ago,2 days,https://www.steamcardexchange.net/index.php?gamepage-appid-235250,https://store.steampowered.com/app/235250,]
453290,Awareness Rooms,20.39,-70%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-453290,https://store.steampowered.com/app/453290,]
385060,The Last Warlock,20.39,-70%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-385060,https://store.steampowered.com/app/385060,]
348180,Starship Traveller,20.39,-70%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-348180,https://store.steampowered.com/app/348180,]
324730,Caverns of the Snow Witch (Standalone),20.39,-70%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-324730,https://store.steampowered.com/app/324730,]
316140,Appointment With FEAR,20.39,-70%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-316140,https://store.steampowered.com/app/316140,]
373600,Weapon of Choice,20.39,-70%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-373600,https://store.steampowered.com/app/373600,]
615180,Firewood,20.39,-70%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-615180,https://store.steampowered.com/app/615180,]
571520,Kalaban,20.39,-70%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-571520,https://store.steampowered.com/app/571520,]
