AppID,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (counting commission and value of the game) (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link,SI
906510,Conception PLUS: Maidens of the Twelve Stars,259.99,-60%,0.04,2.2,13,7,2.31,15.4,-246.9,-2715.9,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-906510,https://store.steampowered.com/app/906510/Conception_PLUS_Maidens_of_the_Twelve_Stars/,]
930910,STEINS;GATE: Linear Bounded Phenogram,999.0,,0.06,3.3,8,4,1.98,13.2,-987.78,-10865.58,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-930910,https://store.steampowered.com/app/930910/STEINSGATE_Linear_Bounded_Phenogram/,]
629760,MORDHAU,263.99,-20%,0.06,3.3,6,3,1.48,9.89,-255.58,-2811.38,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-629760,https://store.steampowered.com/app/629760/MORDHAU/,]
1225570,Unravel Two,269.7,-70%,0.06,3.3,8,4,1.98,13.2,-258.48,-2843.28,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-1225570,https://store.steampowered.com/app/1225570/Unravel_Two/,]
1225560,Unravel,269.7,-70%,0.07,3.85,8,4,2.31,15.4,-256.61,-2822.71,,X,new highest discount,10 days ago,in 4 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-1225560,https://store.steampowered.com/app/1225560/Unravel/,]
1225580,Fe,269.7,-70%,0.05,2.75,12,6,2.47,16.5,-255.67,-2812.37,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-1225580,https://store.steampowered.com/app/1225580/Fe/,]
774361,Blasphemous,274.99,-50%,0.05,2.75,9,5,2.06,13.75,-263.3,-2896.3,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-774361,https://store.steampowered.com/app/774361/Blasphemous/,]
885150,Capcom Beat 'Em Up Bundle,280.0,-50%,0.08,4.4,5,3,1.98,13.2,-268.77,-2956.47,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-885150,https://store.steampowered.com/app/885150/Capcom_Beat_Em_Up_Bundle/,]
579180,Ys VIII: Lacrimosa of DANA,287.99,-40%,0.13,7.15,8,4,4.29,28.6,-263.68,-2900.48,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-579180,https://store.steampowered.com/app/579180/Ys_VIII_Lacrimosa_of_DANA/,]
1016920,Unrailed!,299.25,-25%,0.05,2.75,5,3,1.23,8.25,-292.23,-3214.53,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-1016920,https://store.steampowered.com/app/1016920/Unrailed/,]
304390,FOR HONOR™,299.6,-60%,0.04,2.2,12,6,1.98,13.2,-288.38,-3172.18,,2020 Halloween Sale,"lowest price is ARS$ 124,50 at -50%",3 days ago,tomorrow,https://www.steamcardexchange.net/index.php?gamepage-appid-304390,https://store.steampowered.com/app/304390/FOR_HONOR/,]
327070,Gloria Victis,299.99,-50%,0.04,2.2,9,5,1.65,11.0,-290.64,-3197.04,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-327070,https://store.steampowered.com/app/327070/Gloria_Victis/,]
748360,MY HERO ONE'S JUSTICE,303.84,-84%,0.06,3.3,15,8,3.96,26.4,-281.39,-3095.29,,The Steam Fighting Game Sale,new highest discount,3 days ago,tomorrow,https://www.steamcardexchange.net/index.php?gamepage-appid-748360,https://store.steampowered.com/app/748360/MY_HERO_ONES_JUSTICE/,]
714080,BLACK CLOVER: QUARTET KNIGHTS,303.84,-84%,0.14,7.7,6,3,3.46,23.1,-284.2,-3126.2,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-714080,https://store.steampowered.com/app/714080/BLACK_CLOVER_QUARTET_KNIGHTS/,]
