AppID,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (counting commission and value of the game) (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link
22200,Zeno Clash,25.99,-80%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 19,49 at -85%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-22200,https://store.steampowered.com/app/22200
220820,Zombie Driver HD,25.99,-80%,,,,,,,,,,X,No,4 days ago,10 days,https://www.steamcardexchange.net/index.php?gamepage-appid-220820,https://store.steampowered.com/app/220820
340730,Sunrider Academy,25.99,-80%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 12,99 at -90%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-340730,https://store.steampowered.com/app/340730
606730,Sine Mora EX,25.99,-80%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-606730,https://store.steampowered.com/app/606730
368680,Super Mutant Alien Assault,25.99,-80%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-368680,https://store.steampowered.com/app/368680
320820,Toren,25.99,-80%,,,,,,,,,,X,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-320820,https://store.steampowered.com/app/320820
268810,Paranormal State: Poison Spring,25.99,-80%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 12,99 at -90%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-268810,https://store.steampowered.com/app/268810
456780,DUCATI - 90th Anniversary,25.99,-80%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-456780,https://store.steampowered.com/app/456780
573600,Think of the Children,25.99,-80%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-573600,https://store.steampowered.com/app/573600
277510,Shiny The Firefly,25.99,-80%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 12,99 at -90%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-277510,https://store.steampowered.com/app/277510
502540,Cold Vengeance,25.99,-80%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-502540,https://store.steampowered.com/app/502540
471330,VERSUS SQUAD,26.24,-75%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-471330,https://store.steampowered.com/app/471330
316600,QP Shooting - Dangerous!!,26.24,-75%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-316600,https://store.steampowered.com/app/316600
320040,Moon Hunters,26.99,-85%,,,,,,,,,,X,Product is priced on par with lowest recorded price,4 days ago,3 days,https://www.steamcardexchange.net/index.php?gamepage-appid-320040,https://store.steampowered.com/app/320040
305640,Shattered Planet,26.99,-85%,,,,,,,,,,X,"lowest price is ARS$ 17,99 at -90%",4 days ago,3 days,https://www.steamcardexchange.net/index.php?gamepage-appid-305640,https://store.steampowered.com/app/305640
230820,The Night of the Rabbit Premium Edition,27.99,-90%,,,,,,,,,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-230820,https://store.steampowered.com/app/230820
505630,Let Them Come,29.7,-67%,,,,,,,,,,X,"lowest price is ARS$ 27,19 at -60%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-505630,https://store.steampowered.com/app/505630
"220820,220822",Zombie Driver HD Plus Soundtrack,31.99,-80%,,,,,,,,,,-,-,-,-,"https://www.steamcardexchange.net/index.php?gamepage-appid-220820,220822","https://store.steampowered.com/app/220820,220822"
252330,Slender: The Arrival,32.49,-75%,,,,,,,,,,X,"lowest price is ARS$ 12,99 at -90%",3 days ago,4 days,https://www.steamcardexchange.net/index.php?gamepage-appid-252330,https://store.steampowered.com/app/252330
22230,Rock of Ages,32.49,-75%,,,,,,,,,,X,"lowest price is ARS$ 25,99 at -80%",10 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-22230,https://store.steampowered.com/app/22230
491950,Orwell: Keeping an Eye On You,32.49,-75%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 26,00 at -80%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-491950,https://store.steampowered.com/app/491950
217290,Din's Curse,32.49,-75%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-217290,https://store.steampowered.com/app/217290
263400,War of the Human Tanks,32.49,-75%,,,,,,,,,,Weeklong Deals,Product is priced on par with lowest recorded price,7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-263400,https://store.steampowered.com/app/263400
218510,Planets Under Attack,32.49,-75%,,,,,,,,,,Weeklong Deals,"lowest price is ARS$ 12,99 at -90%",7 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-218510,https://store.steampowered.com/app/218510
297120,Heavy Bullets,32.5,-75%,,,,,,,,,,X,"lowest price is ARS$ 25,99 at -80%",3 days ago,4 days,https://www.steamcardexchange.net/index.php?gamepage-appid-297120,https://store.steampowered.com/app/297120
550310,Root Of Evil: The Tailor,33.24,-65%,,,,,,,,,,X,"lowest price is ARS$ 23,74 at -75%",14 days ago,2 hours,https://www.steamcardexchange.net/index.php?gamepage-appid-550310,https://store.steampowered.com/app/550310
